GAME_ID,SEASON,GAME_DATE,HOME_TEAM_ABBREVIATION,AWAY_TEAM_ABBREVIATION,HOME_TEAM_ID,AWAY_TEAM_ID,SEASON_ID,MATCHUP
0022500001,2025-26,2025-10-15,LAC,OKC,1610612746,1610612760,24025,OKC @ LAC
0022500002,2025-26,2025-10-15,MIA,TOR,1610612748,1610612761,24025,TOR @ MIA
0022500003,2025-26,2025-10-15,NYK,BKN,1610612752,1610612751,24025,BKN @ NYK
0022500004,2025-26,2025-10-15,ATL,WAS,1610612737,1610612764,24025,WAS @ ATL
0022500005,2025-26,2025-10-15,DEN,LAC,1610612743,1610612746,24025,LAC @ DEN
0022500006,2025-26,2025-10-15,LAC,LAL,1610612746,1610612747,24025,LAL @ LAC
0022500007,2025-26,2025-10-15,DEN,PHX,1610612743,1610612756,24025,PHX @ DEN
0022500008,2025-26,2025-10-15,UTA,MIN,1610612762,1610612750,24025,MIN @ UTA
0022500009,2025-26,2025-10-15,ATL,MIL,1610612737,1610612749,24025,MIL @ ATL
0022500010,2025-26,2025-10-15,MIA,PHI,1610612748,1610612755,24025,PHI @ MIA
0022500011,2025-26,2025-10-16,MEM,MIA,1610612763,1610612748,24025,MIA @ MEM
0022500012,2025-26,2025-10-16,DAL,MIN,1610612742,1610612750,24025,MIN @ DAL
0022500013,2025-26,2025-10-16,SAC,DAL,1610612758,1610612742,24025,DAL @ SAC
0022500014,2025-26,2025-10-16,ORL,TOR,1610612753,1610612761,24025,TOR @ ORL
0022500015,2025-26,2025-10-16,CLE,IND,1610612739,1610612754,24025,IND @ CLE
0022500016,2025-26,2025-10-16,SAS,MIA,1610612759,1610612748,24025,MIA @ SAS
0022500017,2025-26,2025-10-16,DEN,UTA,1610612743,1610612762,24025,UTA @ DEN
0022500018,2025-26,2025-10-16,IND,MEM,1610612754,1610612763,24025,MEM @ IND
0022500019,2025-26,2025-10-16,DEN,OKC,1610612743,1610612760,24025,OKC @ DEN
0022500020,2025-26,2025-10-16,MEM,ATL,1610612763,1610612737,24025,ATL @ MEM
0022500021,2025-26,2025-10-17,IND,BOS,1610612754,1610612738,24025,BOS @ IND
0022500022,2025-26,2025-10-17,WAS,PHX,1610612764,1610612756,24025,PHX @ WAS
0022500023,2025-26,2025-10-17,MIL,DEN,1610612749,1610612743,24025,DEN @ MIL
0022500024,2025-26,2025-10-17,HOU,NYK,1610612745,1610612752,24025,NYK @ HOU
0022500025,2025-26,2025-10-17,BKN,LAC,1610612751,1610612746,24025,LAC @ BKN
0022500026,2025-26,2025-10-17,CLE,BOS,1610612739,1610612738,24025,BOS @ CLE
0022500027,2025-26,2025-10-17,ORL,CLE,1610612753,1610612739,24025,CLE @ ORL
0022500028,2025-26,2025-10-17,IND,TOR,1610612754,1610612761,24025,TOR @ IND
0022500029,2025-26,2025-10-17,IND,DET,1610612754,1610612765,24025,DET @ IND
0022500030,2025-26,2025-10-17,GSW,MIL,1610612744,1610612749,24025,MIL @ GSW
0022500031,2025-26,2025-10-18,LAL,WAS,1610612747,1610612764,24025,WAS @ LAL
0022500032,2025-26,2025-10-18,DAL,MIA,1610612742,1610612748,24025,MIA @ DAL
0022500033,2025-26,2025-10-18,CHI,SAS,1610612741,1610612759,24025,SAS @ CHI
0022500034,2025-26,2025-10-18,DAL,CHA,1610612742,1610612766,24025,CHA @ DAL
0022500035,2025-26,2025-10-18,GSW,CHI,1610612744,1610612741,24025,CHI @ GSW
0022500036,2025-26,2025-10-18,LAL,GSW,1610612747,1610612744,24025,GSW @ LAL
0022500037,2025-26,2025-10-18,LAL,LAC,1610612747,1610612746,24025,LAC @ LAL
0022500038,2025-26,2025-10-18,MIA,LAC,1610612748,1610612746,24025,LAC @ MIA
0022500039,2025-26,2025-10-18,GSW,NOP,1610612744,1610612740,24025,NOP @ GSW
0022500040,2025-26,2025-10-18,DEN,PHX,1610612743,1610612756,24025,PHX @ DEN
0022500041,2025-26,2025-10-19,IND,BOS,1610612754,1610612738,24025,BOS @ IND
0022500042,2025-26,2025-10-19,HOU,SAS,1610612745,1610612759,24025,SAS @ HOU
0022500043,2025-26,2025-10-19,MIA,DEN,1610612748,1610612743,24025,DEN @ MIA
0022500044,2025-26,2025-10-19,ORL,DET,1610612753,1610612765,24025,DET @ ORL
0022500045,2025-26,2025-10-19,NOP,MEM,1610612740,1610612763,24025,MEM @ NOP
0022500046,2025-26,2025-10-19,MEM,DET,1610612763,1610612765,24025,DET @ MEM
0022500047,2025-26,2025-10-19,MEM,CHA,1610612763,1610612766,24025,CHA @ MEM
0022500048,2025-26,2025-10-19,TOR,UTA,1610612761,1610612762,24025,UTA @ TOR
0022500049,2025-26,2025-10-19,GSW,NOP,1610612744,1610612740,24025,NOP @ GSW
0022500050,2025-26,2025-10-19,DAL,SAC,1610612742,1610612758,24025,SAC @ DAL
0022500051,2025-26,2025-10-20,NYK,NOP,1610612752,1610612740,24025,NOP @ NYK
0022500052,2025-26,2025-10-20,UTA,LAL,1610612762,1610612747,24025,LAL @ UTA
0022500053,2025-26,2025-10-20,DEN,GSW,1610612743,1610612744,24025,GSW @ DEN
0022500054,2025-26,2025-10-20,PHI,ORL,1610612755,1610612753,24025,ORL @ PHI
0022500055,2025-26,2025-10-20,DEN,CHI,1610612743,1610612741,24025,CHI @ DEN
0022500056,2025-26,2025-10-20,OKC,BOS,1610612760,1610612738,24025,BOS @ OKC
0022500057,2025-26,2025-10-20,TOR,PHI,1610612761,1610612755,24025,PHI @ TOR
0022500058,2025-26,2025-10-20,CHA,SAS,1610612766,1610612759,24025,SAS @ CHA
0022500059,2025-26,2025-10-20,PHX,DAL,1610612756,1610612742,24025,DAL @ PHX
0022500060,2025-26,2025-10-20,SAC,DAL,1610612758,1610612742,24025,DAL @ SAC
0022500061,2025-26,2025-10-21,CLE,DET,1610612739,1610612765,24025,DET @ CLE
0022500062,2025-26,2025-10-21,CHI,POR,1610612741,1610612757,24025,POR @ CHI
0022500063,2025-26,2025-10-21,BKN,PHI,1610612751,1610612755,24025,PHI @ BKN
0022500064,2025-26,2025-10-21,DET,MIA,1610612765,1610612748,24025,MIA @ DET
0022500065,2025-26,2025-10-21,CHI,MIA,1610612741,1610612748,24025,MIA @ CHI
0022500066,2025-26,2025-10-21,DAL,NOP,1610612742,1610612740,24025,NOP @ DAL
0022500067,2025-26,2025-10-21,UTA,DEN,1610612762,1610612743,24025,DEN @ UTA
